CAR_USE,CAR_USE_DETAL,12,13,14,15,16,17,18,19,20,21,22,23,24
전문수송류,현금,77,151,184,226,182,151,151,41,100,67,195,154,146
특수,복지,34,51,22,42,28,26,35,41,50,36,47,58,100
탱크로리,살수,26,16,19,19,28,61,68,143,187,87,87,115,80
특수,방제,140,122,99,118,147,168,158,179,188,156,178,201,148
전문수송류,파워게이트,1500,2106,2558,2940,2844,4400,4719,4459,4395,4618,4251,5004,3932
특수,복지(어린이),1221,1668,2596,5068,3015,3810,6742,6008,4537,3123,3004,4347,3096
특수,이동정비,9,9,174,92,95,80,66,66,95,108,39,65,31
특수,소방(사다리),22,6,13,11,49,27,23,27,36,27,41,39,23
탱크로리,기타,3,0,0,3,1,0,4,10,12,19,22,26,20
탱크로리,일반,103,114,122,172,295,366,339,330,338,277,284,269,303
전문수송류,사료,66,95,69,180,238,212,229,172,134,95,72,77,81
특수,복지(장애인),521,624,510,631,566,723,582,884,910,533,673,1133,918
전문수송류,장의,43,58,67,86,54,57,65,62,38,44,52,18,13
특수,소방(화학),27,31,36,30,69,59,53,39,46,42,29,27,38
탱크로리,우유,52,41,67,80,30,40,17,13,22,14,7,11,8
특수,운전교습,588,222,394,389,789,205,287,389,59,63,72,75,408
특수,집무,122,138,93,212,562,1164,2093,2740,1271,1288,2058,1850,3294
특수,레커,788,772,714,756,785,649,623,595,556,631,478,323,283
탑차,컨테이너,34,19,19,21,14,22,18,16,16,15,15,10,11
환경관련류,진공흡입(세정),47,44,40,43,58,67,81,114,106,124,105,114,129
환경관련류,압축진개,103,89,151,168,188,214,217,264,214,196,143,311,299
전문수송류,카캐리어,217,162,170,161,237,202,251,196,196,262,221,196,216
환경관련류,압착진개,247,220,229,236,314,334,330,348,379,320,312,392,416
전문수송류,세이프티로더,34,26,35,99,75,54,59,43,42,108,75,64,71
특수,소방(지휘),8,12,3,14,49,86,45,39,16,19,25,41,60
특수,소방(탱크),17,29,25,50,106,122,89,57,99,60,32,50,36
특수,소방(장비운송),4,0,0,10,48,20,25,25,9,11,8,21,9
특수,도로정비,4,6,12,17,32,29,80,69,92,61,108,54,58
탱크로리,벌크,1,1,2,9,10,24,22,11,28,52,75,63,34
특수,의료,0,2,11,3,4,17,7,18,8,12,5,7,13
탑차,기타,0,3,1,2,0,0,0,0,0,0,0,0,0
특수,소방(구조),44,16,57,29,115,61,78,72,46,43,36,43,44
전문수송류,활어,736,706,1010,1207,1151,1474,1349,1127,1008,900,1028,818,557
특수,카고크레인,930,743,877,805,1265,1541,1520,1253,1125,2199,2558,1506,1135
특수,소방(펌프),171,149,127,155,405,455,289,160,160,112,163,188,139
특수,고소작업(절연),94,162,120,383,338,356,144,173,143,476,500,645,218
특수,경찰,199,251,929,491,910,1145,1415,455,524,479,446,698,1009
특수,다목적특수트럭,38,34,15,28,27,47,36,39,15,22,39,18,21
전문수송류,기타,12,16,17,21,30,98,256,434,628,403,475,473,670
특수,캠핑,58,167,192,162,197,361,478,432,2165,3057,3228,2180,1234
탱크로리,분말,7,5,88,6,7,1,0,1,0,1,0,2,3
특수,소방(굴절),12,13,10,9,29,32,24,23,18,13,24,38,14
특수,카고,0,0,0,0,0,0,0,13,4,0,0,0,0
특수,고소작업,1452,1278,1355,1611,2055,2606,2517,2193,2240,2461,2648,2073,2050
전문수송류,동물,69,82,94,85,118,139,141,173,133,130,127,162,162
특수,푸드트럭,1,0,0,18,20,11,24,4,46,26,28,38,29
전문수송류,셀프로더,21,16,17,30,51,56,49,45,53,37,46,34,32
탱크로리,가스,39,28,63,88,120,120,146,109,125,105,115,119,99
특수,기타,52,57,41,52,78,84,109,222,241,180,268,258,237
특수,항공,15,10,18,16,14,19,35,31,13,13,13,19,28
탑차,내장(저상형),0,0,0,32,100,102,177,152,1105,214,234,268,620
탑차,윙바디,3348,4367,5387,6509,6181,7323,7580,7195,7205,7464,7114,8506,6866
환경관련류,암롤,251,221,505,504,590,636,673,639,670,631,677,568,663
탑차,내장,7188,8680,10003,12009,9562,10531,11632,11483,10218,8959,9000,11311,11751
환경관련류,진개덤프,69,68,126,78,130,95,92,74,83,47,46,44,26
특수,사다리,706,495,913,1317,872,658,488,322,344,734,293,38,39
환경관련류,음식물수거,114,105,114,154,201,181,225,257,233,160,172,264,263
탱크로리,급수,7,3,3,3,8,7,13,5,10,10,23,7,6
특수,소방(기타),41,34,24,25,65,24,37,50,52,51,100,86,88
특수,보냉/냉장,107,125,121,125,146,141,127,139,111,25,1,2,1
특수,의료(구급),586,534,539,721,1186,656,647,555,660,280,756,644,542
특수,소방(교육),3,1,0,0,9,21,12,13,10,4,3,5,2
환경관련류,기타,6,10,11,47,80,156,228,311,373,325,388,406,455
전문수송류,코일,0,0,0,25,47,46,17,12,3,2,0,0,0
특수,윙바디,0,0,0,0,0,0,0,0,1,0,0,0,0
특수,방송,36,20,15,10,10,22,15,14,18,34,10,11,11
탑차,보냉/냉장,10086,10922,10792,11340,10371,12334,11439,11154,10059,8651,8874,10446,8023
환경관련류,버큠,99,101,87,103,133,142,154,166,181,165,159,157,159
환경관련류,도로청소,99,86,86,103,151,250,209,274,209,184,119,160,131
탱크로리,유류,368,360,442,421,607,571,528,569,552,717,468,465,298
전문수송류,워크스루밴,262,499,455,397,355,589,478,391,428,440,272,183,147
특수,홍보,9,12,26,45,39,38,27,22,15,6,5,15,4
전문수송류,무빙워크,5,6,1,5,12,28,21,22,66,75,64,66,55
특수,소방(조연),4,2,2,1,12,55,47,25,2,2,7,6,5
