CAR_USE,CAR_USE_DETAL,16,17,18,19,20,21,22,23,24,25
전문수송류,파워게이트,2844,4400,4719,4459,4395,4618,4251,5004,3932,3402
특수,복지(어린이),3015,3810,6742,6008,4537,3123,3004,4347,3096,3101
특수,복지,28,26,35,41,50,36,47,58,100,95
전문수송류,현금,182,151,151,41,100,67,195,154,146,143
특수,소방(사다리),49,27,23,27,36,27,41,39,23,24
특수,방제,147,168,158,179,188,156,178,201,148,84
탱크로리,살수,28,61,68,143,187,87,87,115,80,71
특수,이동정비,95,80,66,66,95,108,39,65,31,22
탱크로리,기타,1,0,4,10,12,19,22,26,20,42
탱크로리,일반,295,366,339,330,338,277,284,269,303,240
전문수송류,사료,238,212,229,172,134,95,72,77,81,57
특수,복지(장애인),566,723,582,884,910,533,673,1133,918,985
특수,집무,562,1164,2093,2740,1271,1288,2058,1850,3294,3726
특수,운전교습,789,205,287,389,59,63,72,75,408,71
특수,소방(화학),69,59,53,39,46,42,29,27,38,22
전문수송류,장의,54,57,65,62,38,44,52,18,13,11
탱크로리,우유,30,40,17,13,22,14,7,11,8,13
환경관련류,압착진개,314,334,330,348,379,320,312,392,416,358
환경관련류,압축진개,188,214,217,264,214,196,143,311,299,294
특수,레커,785,649,623,595,556,631,478,323,283,306
환경관련류,진공흡입(세정),58,67,81,114,106,124,105,114,129,107
전문수송류,카캐리어,237,202,251,196,196,262,221,196,216,209
전문수송류,세이프티로더,75,54,59,43,42,108,75,64,70,87
특수,도로정비,32,29,80,69,92,61,108,54,58,60
특수,소방(지휘),49,86,45,39,28,24,27,41,60,64
특수,소방(탱크),106,122,89,57,99,60,32,50,36,31
탱크로리,벌크,10,24,22,11,28,52,75,63,34,17
특수,소방(장비운송),48,20,25,25,9,11,8,21,9,7
특수,의료,4,17,7,18,8,12,5,7,13,29
탑차,컨테이너,14,22,18,16,16,15,15,10,11,12
전문수송류,레커,0,0,0,0,0,0,0,0,1,0
특수,고소작업(절연),338,356,144,173,143,476,500,645,218,181
특수,카고크레인,1265,1541,1520,1253,1125,2199,2558,1506,1135,1007
전문수송류,활어,1151,1474,1349,1127,1008,900,1028,818,557,658
특수,캠핑,197,361,478,432,2165,3057,3228,2180,1234,823
특수,경찰,910,1145,1415,455,512,474,444,698,1009,490
특수,소방(펌프),405,455,289,160,160,112,163,188,139,130
전문수송류,기타,30,98,256,434,628,403,475,473,670,555
특수,소방(구조),115,61,78,72,46,43,36,43,44,52
특수,다목적특수트럭,27,47,36,39,15,22,39,18,21,32
특수,소방(굴절),29,32,24,23,18,13,24,38,14,33
탱크로리,분말,7,1,0,1,0,1,0,2,3,3
특수,카고,0,0,0,13,4,0,0,0,0,0
특수,고소작업,2055,2606,2517,2193,2240,2461,2648,2073,2050,1340
탱크로리,가스,120,120,146,109,125,105,115,119,99,93
전문수송류,동물,118,139,141,173,133,130,127,162,162,124
특수,기타,78,84,109,222,241,180,267,258,237,225
탑차,내장(저상형),100,102,177,152,1105,214,234,268,795,784
특수,푸드트럭,20,11,24,4,46,26,28,38,29,14
특수,항공,14,19,35,31,13,13,13,19,28,24
전문수송류,셀프로더,51,56,49,45,53,37,46,34,32,39
탑차,내장,9562,10531,11632,11483,10218,8959,8993,11306,11575,10845
탑차,윙바디,6181,7323,7580,7195,7205,7464,7114,8506,6866,6365
환경관련류,암롤,590,636,673,639,670,631,677,568,663,607
특수,사다리,872,658,488,322,344,734,293,38,39,70
특수,의료(구급),1186,656,647,555,660,280,756,644,542,599
특수,소방(기타),65,24,37,50,52,51,101,86,88,151
환경관련류,음식물수거,201,181,225,257,233,160,172,264,263,259
전문수송류,코일,47,46,17,12,3,2,0,0,0,0
환경관련류,기타,80,156,228,311,373,325,388,406,455,474
특수,보냉/냉장,146,141,127,139,111,25,1,2,1,0
환경관련류,진개덤프,130,95,92,74,83,47,46,44,26,22
특수,소방(교육),9,21,12,13,10,4,3,5,2,1
탱크로리,급수,8,7,13,5,10,10,23,7,6,4
특수,윙바디,0,0,0,0,1,0,0,0,0,0
탑차,보냉/냉장,10371,12334,11439,11154,10059,8651,8881,10451,8024,8919
탱크로리,유류,607,571,528,569,552,717,468,465,298,270
특수,홍보,39,38,27,22,15,6,5,15,4,6
전문수송류,워크스루밴,355,589,478,391,428,440,272,183,147,92
환경관련류,버큠,133,142,154,166,181,165,159,157,159,178
환경관련류,도로청소,151,250,209,274,209,184,119,160,131,84
특수,소방(조연),12,55,47,25,2,2,7,6,5,3
전문수송류,무빙워크,12,28,21,22,66,75,64,66,55,70
특수,방송,10,22,15,14,18,34,10,11,11,15
