ORG_CAR_MAKER_KOR,OP_CNT,ERSR_CNT,20KM,avg_trvl,TOT_CNT,sur_rate,trvl_rate,ERSR_score,score,grp
BMW,123424,2618,1545,223362,126042,0.9792291458402754,0.5901451489686784,1,2.569374294808954,top
KGM,195871,12521,6564,213201,208392,0.9399161196207148,0.5242392780129382,1,2.464155397633653,middle
기아,1628611,39022,18643,207933,1667633,0.9766003671071513,0.4777561375634258,1,2.454356504670577,middle
닛산,14470,622,197,177121,15092,0.9587861118473363,0.3167202572347267,1,2.2755063690820627,bottom
랜드로버,10740,129,81,235225,10869,0.9881313828319073,0.627906976744186,1,2.6160383595760934,top
렉서스,20765,231,99,200299,20996,0.9889979043627357,0.42857142857142855,1,2.417569332934164,middle
르노코리아,372840,23640,10206,197858,396480,0.9403753026634383,0.4317258883248731,1,2.372101190988311,middle
링컨,6024,355,178,207366,6379,0.9443486439880859,0.5014084507042254,1,2.4457570946923113,middle
미니,23032,620,105,152302,23652,0.9737865719600879,0.1693548387096774,1,2.1431414106697653,bottom
벤츠,100103,1510,703,204472,101613,0.9851396966923524,0.46556291390728477,1,2.4507026105996372,middle
볼보,8314,386,225,231694,8700,0.9556321839080459,0.582901554404145,1,2.538533738312191,top
쉐보레,408953,16945,4965,170637,425898,0.9602134783445802,0.2930067866627324,1,2.2532202650073128,bottom
시트로엥,1090,68,23,175265,1158,0.9412780656303973,0.3382352941176471,1,2.2795133597480444,bottom
아우디,63931,1912,922,205146,65843,0.9709612259465699,0.48221757322175735,1,2.4531787991683274,middle
인피니티,8635,351,148,195043,8986,0.9609392388159359,0.42165242165242167,1,2.3825916604683575,middle
재규어,5333,358,149,193154,5691,0.9370936566508522,0.41620111731843573,1,2.3532947739692878,middle
지프,11334,300,136,201197,11634,0.9742135121196493,0.4533333333333333,1,2.4275468454529827,middle
캐딜락,2342,130,47,182377,2472,0.9474110032362459,0.36153846153846153,1,2.3089494647747077,middle
크라이슬러,4045,308,164,215406,4353,0.9292441994027107,0.5324675324675324,1,2.4617117318702433,middle
토요타,26730,349,163,207092,27079,0.9871117840392925,0.4670487106017192,1,2.4541604946410116,middle
포드,16804,932,344,187796,17736,0.9474515110509698,0.36909871244635195,1,2.316550223497322,middle
폭스바겐,74147,2585,1457,218448,76732,0.9663113173122035,0.5636363636363636,1,2.5299476809485673,top
푸조,8331,1066,516,204081,9397,0.8865595402788123,0.48405253283302063,1,2.370612073111833,middle
한국지엠,98093,10380,2854,170688,108473,0.9043079844753994,0.2749518304431599,1,2.1792598149185594,bottom
현대,1888128,35661,19686,228306,1923789,0.9814631438271036,0.5520316311937411,1,2.533494775020845,top
혼다,17064,319,138,192966,17383,0.9816487372720474,0.43260188087774293,1,2.41425061814979,middle
