ORG_CAR_MAKER_KOR,OP_CNT,ERSR_CNT,20KM,avg_trvl,TOT_CNT,sur_rate,trvl_rate,ERSR_score,score,grp
BMW,151607,5856,3384,221305,157463,0.9628103109936937,0.5778688524590164,1,2.54067916345271,top
KGM,298010,37302,21275,221695,335312,0.8887543541537434,0.570344753632513,1,2.4590991077862565,middle
기아,2235154,128908,65361,211066,2364062,0.9454718192670074,0.5070360256927421,1,2.4525078449597495,middle
닛산,17046,853,296,181807,17899,0.9523437063523101,0.347010550996483,1,2.299354257348793,middle
닷지,1966,139,55,197245,2105,0.9339667458432304,0.39568345323741005,1,2.3296501990806404,middle
랜드로버,12932,324,216,244981,13256,0.9755582377791189,0.6666666666666666,1,2.6422249044457855,top
렉서스,40023,1273,774,226702,41296,0.9691737698566447,0.608012568735271,1,2.5771863385919156,top
르노코리아,684782,81237,39353,204986,766019,0.8939491057010335,0.48442212292428327,1,2.3783712286253165,middle
링컨,7830,581,286,203649,8411,0.9309237902746403,0.49225473321858865,1,2.4231785234932293,middle
미니,26312,948,159,154596,27260,0.9652237710931768,0.16772151898734178,1,2.1329452900805186,bottom
미쓰비시,1106,58,18,176655,1164,0.9501718213058419,0.3103448275862069,1,2.2605166488920485,bottom
벤츠,131715,3841,2126,219506,135556,0.9716648470005016,0.5535016922676387,1,2.5251665392681404,top
볼보,13712,1300,698,217208,15012,0.9134026112443379,0.536923076923077,1,2.450325688167415,middle
사브,1133,80,41,207688,1213,0.9340478153338829,0.5125,1,2.446547815333883,middle
쉐보레,408953,16956,4959,170363,425909,0.9601886788022793,0.2924628450106157,1,2.252651523812895,bottom
시트로엥,1126,70,25,179914,1196,0.9414715719063546,0.35714285714285715,1,2.298614429049212,middle
아우디,74611,3769,1819,205449,78380,0.9519137535085481,0.48262138498275403,1,2.4345351384913023,middle
인피니티,14015,1054,495,201471,15069,0.9300550799654921,0.4696394686907021,1,2.3996945486561945,middle
재규어,6970,525,231,196865,7495,0.9299533022014677,0.44,1,2.3699533022014676,middle
지프,14803,579,302,215434,15382,0.9623586009621635,0.5215889464594128,1,2.483947547421576,middle
캐딜락,3480,265,99,184396,3745,0.9292389853137517,0.37358490566037733,1,2.302823890974129,middle
크라이슬러,7887,1006,461,200739,8893,0.8868773192398516,0.45825049701789267,1,2.3451278162577442,middle
토요타,29740,463,216,207246,30203,0.9846703969804325,0.46652267818574517,1,2.4511930751661777,middle
포드,20127,1394,546,191113,21521,0.9352260582686678,0.3916786226685796,1,2.3269046809372473,middle
포르쉐,10257,66,31,207667,10323,0.993606509735542,0.4696969696969697,1,2.4633034794325117,middle
폭스바겐,83774,4442,2503,217479,88216,0.9496463226625556,0.5634849167041873,1,2.513131239366743,top
푸조,10266,1628,702,196617,11894,0.8631242643349588,0.4312039312039312,1,2.29432819553889,bottom
한국지엠,310412,47590,12844,166641,358002,0.867067781744236,0.26988863206556,1,2.136956413809796,bottom
현대,3119947,192251,106977,220799,3312198,0.9419566704647487,0.5564444398208592,1,2.498401110285608,middle
혼다,33930,1333,715,213055,35263,0.9621983382015143,0.536384096024006,1,2.4985824342255203,middle
