,date,CNT
0,20120101,127332
1,20120201,104554
2,20120301,109721
3,20120401,105822
4,20120501,111922
5,20120601,113558
6,20120701,115544
7,20120801,87759
8,20120901,111332
9,20121001,110254
10,20121101,116414
11,20121201,86152
12,20130101,140095
13,20130201,92906
14,20130301,105957
15,20130401,112803
16,20130501,109570
17,20130601,105165
18,20130701,130445
19,20130801,103522
20,20130901,92267
21,20131001,114230
22,20131101,105642
23,20131201,85293
24,20140101,142269
25,20140201,100147
26,20140301,114373
27,20140401,123031
28,20140501,114331
29,20140601,113797
30,20140701,134034
31,20140801,104694
32,20140901,112505
33,20141001,117340
34,20141101,117281
35,20141201,116034
36,20150101,151167
37,20150201,100959
38,20150301,124446
39,20150401,129949
40,20150501,117013
41,20150601,135278
42,20150701,136617
43,20150801,113569
44,20150901,138401
45,20151001,133468
46,20151101,143905
47,20151201,141495
48,20160101,146278
49,20160201,109176
50,20160301,145054
51,20160401,132254
52,20160501,137515
53,20160601,158112
54,20160701,127421
55,20160801,107177
56,20160901,111144
57,20161001,122144
58,20161101,135597
59,20161201,134472
60,20170101,156546
61,20170201,113695
62,20170301,140691
63,20170401,130072
64,20170501,128026
65,20170601,140773
66,20170701,129915
67,20170801,121691
68,20170901,138808
69,20171001,102996
70,20171101,137663
71,20171201,114928
72,20180101,142328
73,20180201,108513
74,20180301,140044
75,20180401,137891
76,20180501,133731
77,20180601,132766
78,20180701,137956
79,20180801,126271
80,20180901,111934
81,20181001,133620
82,20181101,138662
83,20181201,121612
84,20190101,139662
85,20190201,100516
86,20190301,129134
87,20190401,132826
88,20190501,130886
89,20190601,119613
90,20190701,130963
91,20190801,116071
92,20190901,121912
93,20191001,133616
94,20191101,143486
95,20191201,142201
96,20200101,120031
97,20200201,90336
98,20200301,140961
99,20200401,142228
100,20200501,149789
101,20200601,183723
102,20200701,149372
103,20200801,113009
104,20200901,146889
105,20201001,132850
106,20201101,147483
107,20201201,140559
108,20210101,134406
109,20210201,107833
110,20210301,141919
111,20210401,140132
112,20210501,126844
113,20210601,143051
114,20210701,134440
115,20210801,108201
116,20210901,103943
117,20211001,108303
118,20211101,122031
119,20211201,122967
120,20220101,114079
121,20220201,97676
122,20220301,125177
123,20220401,124916
124,20220501,125284
125,20220601,117999
126,20220701,128466
127,20220801,113251
128,20220901,120101
129,20221001,119020
130,20221101,135886
131,20221201,123902
132,20230101,122501
133,20230201,114504
134,20230301,145837
135,20230401,127867
136,20230501,128723
137,20230601,144221
138,20230701,122916
139,20230801,108610
140,20230901,124407
141,20231001,118503
142,20231101,136251
143,20231201,113252
144,20240101,125506
145,20240201,98304
146,20240301,125189
147,20240401,123450
148,20240501,122865
149,20240601,118167
150,20240701,126514
151,20240801,103784
152,20240901,115766
153,20241001,127802
154,20241101,130006
