YEAR,CAR_USE,CAR_USE_DETAL,REG_CNT
2012,특수,집무,114
2012,전문수송류,파워게이트,1500
2012,특수,이동정비,9
2012,특수,방송,3
2013,특수,소방(펌프),6
2013,특수,소방(지휘),7
2013,특수,이동정비,9
2013,특수,의료,1
2014,특수,의료(구급),539
2014,특수,소방(펌프),8
2014,특수,운전교습,394
2014,특수,소방(구조),11
2015,특수,복지(어린이),3967
2015,특수,복지(장애인),606
2015,특수,소방(펌프),20
2015,특수,의료,1
2015,특수,푸드트럭,18
2016,전문수송류,파워게이트,2844
2016,탑차,보냉/냉장,9816
2016,탱크로리,유류,309
2016,특수,카고크레인,11
2017,탑차,내장,10350
2017,특수,보냉/냉장,141
2017,전문수송류,활어,1260
2017,특수,사다리,380
2017,전문수송류,워크스루밴,589
2017,환경관련류,진공흡입(세정),1
2017,특수,소방(장비운송),2
2018,전문수송류,파워게이트,4715
2018,특수,고소작업,1488
2018,특수,푸드트럭,24
2018,특수,소방(구조),17
2018,환경관련류,버큠,1
2018,환경관련류,진공흡입(세정),2
2019,전문수송류,워크스루밴,391
2019,탑차,내장(저상형),152
2019,환경관련류,기타,61
2019,특수,이동정비,64
2019,전문수송류,동물,62
2019,특수,푸드트럭,4
2019,특수,방송,1
2019,특수,항공,2
2019,특수,소방(지휘),28
2019,특수,소방(구조),18
2019,특수,소방(교육),3
2020,전문수송류,활어,787
2020,탑차,내장,10034
2020,특수,운전교습,59
2020,전문수송류,사료,10
2021,환경관련류,기타,41
2021,전문수송류,워크스루밴,440
2021,특수,사다리,228
2021,특수,복지,5
2021,특수,의료,2
2022,특수,고소작업,1386
2022,특수,사다리,160
2022,탱크로리,살수,2
2023,전문수송류,장의,16
2024,특수,고소작업(절연),64
2024,특수,복지(장애인),455
2024,탱크로리,유류,76
2024,환경관련류,도로청소,15
2012,전문수송류,장의,43
2012,특수,소방(기타),20
2012,전문수송류,워크스루밴,262
2012,특수,복지(어린이),940
2012,전문수송류,사료,16
2012,특수,도로정비,2
2013,특수,의료(구급),534
2013,특수,캠핑,166
2013,특수,홍보,10
2013,환경관련류,도로청소,1
2014,특수,기타,14
2014,특수,복지(어린이),1933
2014,탑차,내장,9634
2014,탑차,윙바디,4007
2014,전문수송류,워크스루밴,455
2014,전문수송류,현금,182
2014,특수,경찰,887
2015,탑차,윙바디,4945
2014,특수,항공,1
2015,특수,레커,710
2015,전문수송류,현금,226
2014,특수,도로정비,2
2015,특수,캠핑,143
2015,특수,도로정비,3
2015,전문수송류,기타,1
2015,특수,항공,1
2016,특수,고소작업,1110
2016,탑차,윙바디,4727
2016,전문수송류,워크스루밴,355
2016,특수,보냉/냉장,145
2016,전문수송류,현금,179
2016,전문수송류,장의,48
2016,특수,도로정비,13
2017,특수,소방(구조),18
2018,탑차,윙바디,5950
2018,특수,방제,146
2018,특수,레커,554
2018,전문수송류,사료,13
2018,환경관련류,진개덤프,10
2019,탑차,보냉/냉장,10436
2019,특수,집무,2723
2019,전문수송류,사료,16
2019,특수,소방(펌프),15
2020,탱크로리,유류,305
2020,특수,집무,1242
2020,특수,기타,143
2020,특수,경찰,433
2020,특수,이동정비,94
2020,특수,소방(지휘),7
2020,탱크로리,일반,1
2020,특수,소방(교육),2
2021,전문수송류,현금,67
2021,특수,기타,93
2021,특수,고소작업,1081
2021,환경관련류,진개덤프,1
2022,특수,경찰,400
2022,특수,운전교습,72
2022,특수,홍보,3
2022,환경관련류,버큠,2
2023,특수,의료(구급),591
2023,특수,소방(기타),38
2023,특수,푸드트럭,38
2023,특수,사다리,29
2023,특수,운전교습,75
2023,환경관련류,도로청소,14
2023,전문수송류,사료,18
2024,탑차,윙바디,3812
2024,특수,사다리,20
2024,전문수송류,워크스루밴,105
2024,특수,운전교습,117
2012,특수,기타,35
2012,특수,고소작업,604
2013,탱크로리,유류,191
2013,탑차,내장,8537
2013,전문수송류,현금,148
2013,탑차,윙바디,3624
2013,특수,기타,26
2013,특수,사다리,342
2013,특수,방송,3
2014,탑차,보냉/냉장,9962
2014,특수,보냉/냉장,121
2014,특수,방송,3
2014,특수,홍보,6
2015,특수,보냉/냉장,125
2015,특수,의료(구급),721
2015,환경관련류,도로청소,3
2015,특수,경찰,446
2016,특수,푸드트럭,20
2016,특수,방제,144
2016,전문수송류,카캐리어,1
2016,특수,소방(구조),41
2017,특수,복지(어린이),2952
2017,전문수송류,기타,62
2017,전문수송류,장의,55
2017,특수,방송,4
2017,탱크로리,살수,1
2017,특수,도로정비,9
2018,전문수송류,장의,62
2018,특수,도로정비,21
2019,특수,기타,119
2019,특수,운전교습,389
2019,환경관련류,버큠,1
2019,환경관련류,진공흡입(세정),4
2020,탑차,윙바디,5562
2020,특수,소방(기타),34
2020,특수,보냉/냉장,111
2020,특수,복지(어린이),4053
2020,특수,홍보,10
2020,탑차,내장(저상형),1105
2020,특수,사다리,117
2020,특수,도로정비,11
2021,특수,운전교습,63
2021,전문수송류,장의,43
2021,특수,소방(기타),27
2021,특수,소방(지휘),9
2021,환경관련류,버큠,1
2021,특수,카고크레인,9
2021,환경관련류,도로청소,6
2021,특수,소방(구조),11
2022,탑차,보냉/냉장,8026
2022,특수,소방(기타),69
2022,특수,레커,417
2022,특수,복지,19
2023,탑차,윙바디,6858
2023,탑차,보냉/냉장,9793
2023,특수,경찰,660
2023,특수,소방(지휘),23
2023,특수,소방(장비운송),13
2023,환경관련류,진공흡입(세정),13
2024,전문수송류,활어,311
2024,전문수송류,현금,80
2024,환경관련류,진공흡입(세정),12
2012,탑차,내장,7018
2012,특수,운전교습,588
2012,특수,캠핑,55
2012,전문수송류,활어,602
2012,특수,카고크레인,3
2013,특수,운전교습,222
2013,전문수송류,파워게이트,2106
2013,탑차,보냉/냉장,10436
2013,특수,방제,91
2013,특수,소방(탱크),7
2013,특수,소방(구조),6
2014,특수,집무,83
2014,특수,레커,645
2014,전문수송류,활어,813
2014,탱크로리,유류,173
2014,특수,사다리,484
2014,전문수송류,사료,17
2014,특수,복지,11
2014,특수,카고크레인,1
2015,특수,운전교습,389
2015,전문수송류,활어,962
2015,특수,소방(기타),11
2015,특수,소방(지휘),11
2015,환경관련류,진공흡입(세정),2
2015,특수,소방(탱크),1
2016,탑차,내장,9155
2016,환경관련류,진공흡입(세정),7
2016,환경관련류,도로청소,3
2016,특수,소방(장비운송),9
2016,전문수송류,기타,5
2017,탑차,윙바디,6018
2017,특수,레커,568
2017,특수,고소작업,1321
2017,특수,복지(장애인),685
2017,특수,이동정비,79
2017,전문수송류,현금,151
2017,특수,기타,17
2017,특수,소방(기타),9
2017,특수,복지,10
2018,특수,기타,54
2018,탑차,내장(저상형),177
2018,특수,홍보,20
2018,특수,복지,17
2019,전문수송류,파워게이트,4459
2019,특수,방제,159
2019,탱크로리,유류,301
2020,탑차,보냉/냉장,9436
2020,환경관련류,기타,42
2020,특수,의료(구급),491
2020,특수,카고,4
2020,특수,소방(구조),6
2020,환경관련류,버큠,20
2021,탑차,보냉/냉장,7988
2021,특수,레커,550
2021,전문수송류,파워게이트,4618
2021,특수,복지(장애인),496
2021,특수,복지(어린이),2782
2021,특수,항공,1
2021,특수,소방(장비운송),9
2022,특수,이동정비,33
2022,탱크로리,유류,223
2022,전문수송류,동물,24
2022,탑차,내장(저상형),233
2022,특수,카고크레인,47
2022,특수,의료,2
2023,환경관련류,기타,105
2023,특수,레커,272
2023,전문수송류,워크스루밴,183
2022,특수,소방(구조),4
2023,특수,복지,37
2023,전문수송류,현금,153
2023,특수,방송,3
2023,탱크로리,살수,5
2024,특수,고소작업,555
2024,탑차,보냉/냉장,5743
2024,전문수송류,장의,7
2024,특수,경찰,625
2024,특수,푸드트럭,24
2024,탱크로리,일반,1
2024,전문수송류,사료,5
2024,특수,소방(지휘),15
2024,특수,소방(장비운송),4
2012,특수,보냉/냉장,107
2012,특수,사다리,564
2012,특수,소방(펌프),5
2012,특수,소방(구조),14
2014,특수,복지(장애인),487
2014,특수,이동정비,174
2015,탑차,내장,11690
2015,전문수송류,장의,86
2015,전문수송류,파워게이트,2940
2015,특수,홍보,28
2015,특수,방제,111
2015,특수,사다리,791
2015,특수,고소작업,1007
2015,특수,소방(화학),1
2015,탑차,내장(저상형),32
2015,특수,소방(장비운송),3
2016,특수,집무,550
2016,특수,사다리,545
2016,특수,의료(구급),1153
2016,특수,캠핑,156
2016,특수,복지(장애인),539
2016,특수,홍보,35
2016,특수,소방(기타),36
2016,환경관련류,기타,2
2017,탑차,내장(저상형),102
2017,특수,방제,159
2017,특수,경찰,1083
2017,특수,의료,2
2018,특수,의료(구급),639
2018,특수,사다리,323
2018,특수,소방(장비운송),11
2018,환경관련류,기타,10
2019,탑차,내장,11219
2019,특수,고소작업,1355
2019,특수,경찰,373
2019,특수,복지(장애인),817
2019,특수,홍보,15
2019,특수,카고크레인,18
2020,전문수송류,파워게이트,4395
2020,전문수송류,워크스루밴,428
2020,특수,고소작업,1401
2020,전문수송류,기타,223
2021,탑차,내장,8694
2021,전문수송류,활어,694
2021,전문수송류,기타,127
2021,특수,방송,6
2021,특수,경찰,448
2022,전문수송류,장의,51
2022,특수,복지(어린이),2633
2022,특수,도로정비,19
2022,환경관련류,도로청소,7
2022,전문수송류,사료,13
2022,특수,소방(펌프),48
2022,특수,소방(교육),2
2022,특수,보냉/냉장,1
2023,전문수송류,활어,706
2023,특수,캠핑,1938
2023,특수,카고크레인,65
2023,특수,방제,177
2023,특수,소방(교육),2
2024,특수,복지,39
2024,환경관련류,기타,38
2024,탑차,내장(저상형),421
2012,특수,복지(장애인),488
2012,특수,방제,120
2012,전문수송류,현금,75
2012,특수,소방(장비운송),4
2013,특수,보냉/냉장,125
2013,특수,복지(어린이),1194
2013,특수,집무,131
2013,특수,항공,1
2014,전문수송류,장의,67
2015,탑차,보냉/냉장,10785
2015,특수,집무,191
2015,특수,복지,22
2015,특수,이동정비,91
2015,탱크로리,기타,1
2015,특수,방송,3
2015,환경관련류,진개덤프,7
2016,전문수송류,사료,10
2016,특수,운전교습,789
2016,특수,소방(지휘),31
2016,특수,기타,21
2017,탑차,보냉/냉장,11679
2017,전문수송류,파워게이트,4400
2017,탱크로리,유류,359
2017,환경관련류,기타,4
2017,특수,푸드트럭,11
2017,특수,카고크레인,7
2017,특수,항공,1
2018,특수,복지(어린이),5760
2018,탑차,내장,11378
2018,특수,캠핑,231
2018,탱크로리,유류,264
2018,특수,소방(지휘),30
2018,특수,이동정비,65
2018,탱크로리,살수,1
2019,탑차,윙바디,5665
2019,전문수송류,활어,947
2019,전문수송류,현금,37
2019,특수,복지,17
2019,특수,의료,2
2019,전문수송류,셀프로더,1
2020,전문수송류,동물,30
2020,특수,레커,508
2020,특수,복지(장애인),845
2020,특수,캠핑,1960
2020,특수,카고크레인,8
2020,특수,소방(펌프),13
2020,특수,의료,1
2021,특수,보냉/냉장,25
2021,전문수송류,사료,9
2021,특수,홍보,3
2021,전문수송류,동물,29
2022,전문수송류,현금,195
2022,특수,푸드트럭,28
