EXTRACT_DE,ORG_CAR_MAKER_KOR,OP_CNT,ERSR_CNT,TOT_CNT,sur_rate
1985-06-01,KGM,7,1,8,0.88
1986-02-01,현대,191,1,192,0.99
1986-11-01,현대,259,1,260,1.0
1988-01-01,기아,106,1,107,0.99
1988-02-01,현대,310,1,311,1.0
1988-05-01,현대,376,1,377,1.0
1988-10-01,현대,593,1,594,1.0
1988-12-01,현대,752,1,753,1.0
1988-12-01,벤츠,7,1,8,0.88
1989-02-01,현대,708,1,709,1.0
1989-07-01,한국지엠,340,1,341,1.0
1989-07-01,현대,957,1,958,1.0
1989-08-01,현대,1223,1,1224,1.0
1989-09-01,현대,1150,1,1151,1.0
1989-10-01,기아,351,1,352,1.0
1989-12-01,현대,1322,1,1323,1.0
1990-02-01,현대,1004,1,1005,1.0
1990-03-01,현대,1318,2,1320,1.0
1990-05-01,현대,802,1,803,1.0
1990-06-01,한국지엠,334,1,335,1.0
1990-06-01,현대,961,1,962,1.0
1990-07-01,현대,1226,3,1229,1.0
1990-07-01,KGM,116,1,117,0.99
1990-08-01,기아,453,1,454,1.0
1990-08-01,한국지엠,561,1,562,1.0
1990-09-01,현대,1357,2,1359,1.0
1990-10-01,현대,1067,4,1071,1.0
1990-11-01,KGM,99,1,100,0.99
1990-11-01,현대,1360,2,1362,1.0
1990-12-01,현대,1351,1,1352,1.0
1990-12-01,기아,550,1,551,1.0
1991-01-01,기아,383,1,384,1.0
1991-03-01,기아,437,2,439,1.0
1991-03-01,현대,1202,2,1204,1.0
1991-04-01,볼보,5,1,6,0.83
1991-04-01,현대,1368,1,1369,1.0
1991-04-01,기아,545,2,547,1.0
1991-05-01,벤츠,15,1,16,0.94
1991-06-01,기아,478,1,479,1.0
1991-06-01,볼보,4,1,5,0.8
1991-06-01,한국지엠,467,1,468,1.0
1991-07-01,현대,1323,1,1324,1.0
1991-08-01,현대,1039,2,1041,1.0
1991-09-01,현대,1311,4,1315,1.0
1991-09-01,기아,549,1,550,1.0
1991-10-01,현대,1597,3,1600,1.0
1991-10-01,벤츠,7,1,8,0.88
1991-10-01,기아,570,1,571,1.0
1991-11-01,기아,612,2,614,1.0
1991-11-01,현대,1515,2,1517,1.0
1991-12-01,현대,1491,2,1493,1.0
1991-12-01,기아,627,2,629,1.0
1992-01-01,현대,634,3,637,1.0
1992-02-01,현대,782,4,786,0.99
1992-02-01,기아,470,1,471,1.0
1992-03-01,현대,1576,1,1577,1.0
1992-03-01,기아,639,3,642,1.0
1992-04-01,현대,1589,2,1591,1.0
1992-04-01,기아,575,1,576,1.0
1992-05-01,기아,585,1,586,1.0
1992-05-01,KGM,95,2,97,0.98
1992-05-01,현대,1429,6,1435,1.0
1992-06-01,현대,1423,3,1426,1.0
